Gene,RRquadrant,Sample
Ptgds,updown,neuron_cluster_11
Chst9,updown,neuron_cluster_11
Gatm,updown,neuron_cluster_11
Rbms3,updown,neuron_cluster_11
Gm13944,updown,neuron_cluster_11
Tmem108,updown,neuron_cluster_11
Adamts12,updown,neuron_cluster_11
Vtn,updown,neuron_cluster_11
Fbxl7,updown,neuron_cluster_11
Gm48091,updown,neuron_cluster_11
Dock4,updown,neuron_cluster_11
Cemip,updown,neuron_cluster_11
Tmcc3,updown,neuron_cluster_11
Igf1r,updown,neuron_cluster_11
Sox5os4,updown,neuron_cluster_11
Bfsp2,updown,neuron_cluster_11
Pde1c,updown,neuron_cluster_11
Gm13187,updown,neuron_cluster_11
Trpc4,updown,neuron_cluster_11
Itih3,updown,neuron_cluster_11
Reln,updown,neuron_cluster_11
Dpp10,updown,neuron_cluster_11
Rgs7,updown,neuron_cluster_11
Itgbl1,updown,neuron_cluster_11
Stk32a,updown,neuron_cluster_11
4930509J09Rik,updown,neuron_cluster_11
Arhgef26,updown,neuron_cluster_11
Gnrh1,updown,neuron_cluster_11
Ptprm,updown,neuron_cluster_11
Trpm3,updown,neuron_cluster_11
Macrod2os1,updown,neuron_cluster_11
Pld5,updown,neuron_cluster_11
Ptprz1,updown,neuron_cluster_11
Kcnn2,updown,neuron_cluster_11
Dock2,updown,neuron_cluster_11
Mmd2,updown,neuron_cluster_11
6530403H02Rik,updown,neuron_cluster_11
Elovl7,updown,neuron_cluster_11
Slc2a1,updown,neuron_cluster_11
Slc44a5,updown,neuron_cluster_11
Sema5a,updown,neuron_cluster_11
B3galt1,updown,neuron_cluster_11
Gabrb1,updown,neuron_cluster_11
Nrg3os,updown,neuron_cluster_11
Cfap65,updown,neuron_cluster_11
Car2,updown,neuron_cluster_11
Kcnk2,updown,neuron_cluster_11
Slit3,updown,neuron_cluster_11
Macrod2,downup,neuron_cluster_11
Wdr49,downup,neuron_cluster_11
Plcl1,downup,neuron_cluster_11
Egfem1,downup,neuron_cluster_11
Anks1b,downup,neuron_cluster_11
Atg4a,downup,neuron_cluster_11
Lsamp,downup,neuron_cluster_11
Arl15,downup,neuron_cluster_11
A230057D06Rik,downup,neuron_cluster_11
Zeb1,downup,neuron_cluster_11
Avp,downup,neuron_cluster_11
Mannr,downup,neuron_cluster_11
Gm48045,downup,neuron_cluster_11
Slpi,downup,neuron_cluster_11
Tbx18,downup,neuron_cluster_11
Gm28154,downup,neuron_cluster_11
Fer1l6,downup,neuron_cluster_11
Gm12128,downup,neuron_cluster_11
Gm42791,downup,neuron_cluster_11
Igtp,downup,neuron_cluster_11
Eya1,downup,neuron_cluster_11
Trpm8,downup,neuron_cluster_11
Crybg2,downup,neuron_cluster_11
Adam5,downup,neuron_cluster_11
Igf1,downup,neuron_cluster_11
Krt26,downup,neuron_cluster_11
Mcm2,downup,neuron_cluster_11
Gm12082,downup,neuron_cluster_11
Slc7a11,downup,neuron_cluster_11
4930555F03Rik,downup,neuron_cluster_11
Cp,downup,neuron_cluster_11
Chsy3,downup,neuron_cluster_11
Lingo2,downup,neuron_cluster_11
Kcnd2,downup,neuron_cluster_11
Sntg1,downup,neuron_cluster_11
St18,downup,neuron_cluster_11
9530059O14Rik,downup,neuron_cluster_11
Galntl6,downup,neuron_cluster_11
Hcrt,downup,neuron_cluster_11
Tafa2,downup,neuron_cluster_11
Sfta3-ps,downup,neuron_cluster_11
Mmp16,downup,neuron_cluster_11
Fat3,downup,neuron_cluster_11
Fhit,downup,neuron_cluster_11
Spon1,downup,neuron_cluster_11
Csmd3,downup,neuron_cluster_11
Rbfox1,downup,neuron_cluster_11
Gm49678,downup,neuron_cluster_11
Ly6c1,downup,neuron_cluster_11
Acer2,downup,neuron_cluster_11
Cntn6,downup,neuron_cluster_11
Zeb2,downup,neuron_cluster_11
Cobll1,downup,neuron_cluster_11
Dlc1,downup,neuron_cluster_11
Adgrb3,downup,neuron_cluster_11
Tmem163,downup,neuron_cluster_11
Ptprj,downup,neuron_cluster_11
Lhfpl3,downup,neuron_cluster_11
Erbb4,downup,neuron_cluster_11
Pacrg,downup,neuron_cluster_11
Pard3b,downup,neuron_cluster_11
Grm3,downup,neuron_cluster_11
Ghr,downup,neuron_cluster_11
Ctnna3,downup,neuron_cluster_11
Mgp,downup,neuron_cluster_11
Tmtc2,downup,neuron_cluster_11
Shisa9,downup,neuron_cluster_11
Fam20a,downup,neuron_cluster_11
Mapk4,downup,neuron_cluster_11
Galnt17,downup,neuron_cluster_11
Klhl1,downup,neuron_cluster_11
Gm2516,downup,neuron_cluster_11
Gm29683,downup,neuron_cluster_11
Epha3,downup,neuron_cluster_11
Slc35f4,downup,neuron_cluster_11
Mgat4c,downup,neuron_cluster_11
9630028H03Rik,downup,neuron_cluster_11
5730522E02Rik,downup,neuron_cluster_11
Hes5,downup,neuron_cluster_11
Sept4,downup,neuron_cluster_11
Frmpd4,downup,neuron_cluster_11
Kcnq3,downup,neuron_cluster_11
Nxph1,downup,neuron_cluster_11
Sv2c,downup,neuron_cluster_11
Rnf220,downup,neuron_cluster_11
Phlpp1,downup,neuron_cluster_11
Hbb-bs,downup,neuron_cluster_11
Lrrtm4,downup,neuron_cluster_11
4930444A19Rik,downup,neuron_cluster_11
Stard13,downup,neuron_cluster_11
Slc35f1,downup,neuron_cluster_11
Nnat,downup,neuron_cluster_11
Grb14,downup,neuron_cluster_11
Enox1,downup,neuron_cluster_11
Cyp7b1,downup,neuron_cluster_11
Ddo,downup,neuron_cluster_11
Pde4b,downup,neuron_cluster_11
Plxdc2,downup,neuron_cluster_11
Hs3st4,downup,neuron_cluster_11
Ctnna2,downup,neuron_cluster_11
Etv6,downup,neuron_cluster_11
Lhfp,downup,neuron_cluster_11
Hepacam,downup,neuron_cluster_11
Caln1,downup,neuron_cluster_11
Tcf4,downup,neuron_cluster_11
Slit2,downup,neuron_cluster_11
Brinp3,downup,neuron_cluster_11
Trf,downup,neuron_cluster_11
Sema6d,downup,neuron_cluster_11
Frmd5,downup,neuron_cluster_11
Prr5l,downup,neuron_cluster_11
Trpc5,downup,neuron_cluster_11
Gm32647,downup,neuron_cluster_11
Adarb2,downup,neuron_cluster_11
Cntnap2,downup,neuron_cluster_11
Grm1,downup,neuron_cluster_11
Sst,downup,neuron_cluster_11
Gm30382,downup,neuron_cluster_11
Usp29,downup,neuron_cluster_11
Elavl2,downup,neuron_cluster_11
Gm26871,downup,neuron_cluster_11
Cntn3,downup,neuron_cluster_11
Adgrl3,downup,neuron_cluster_11
Svil,downup,neuron_cluster_11
Lrp1b,downup,neuron_cluster_11
5530401A14Rik,downup,neuron_cluster_11
Satb2,downup,neuron_cluster_11
Gm26936,downup,neuron_cluster_11
Tns3,downup,neuron_cluster_11
Med18,downup,neuron_cluster_11
Grid1,downup,neuron_cluster_11
Hcn1,downup,neuron_cluster_11
Tox,downup,neuron_cluster_11
Tenm1,downup,neuron_cluster_11
Thsd4,downup,neuron_cluster_11
Pcdh9,downup,neuron_cluster_11
Irgm2,downup,neuron_cluster_11
Folh1,downup,neuron_cluster_11
Epha5,downup,neuron_cluster_11
Myof,downup,neuron_cluster_11
Gm15261,downup,neuron_cluster_11
Pak7,downup,neuron_cluster_11
Gm10457,downup,neuron_cluster_11
Thsd7b,downup,neuron_cluster_11
Asic2,downup,neuron_cluster_11
Ttc21a,downup,neuron_cluster_11
Tenm3,downup,neuron_cluster_11
Rorb,downup,neuron_cluster_11
Dgki,downup,neuron_cluster_11
Sulf1,downup,neuron_cluster_11
Gm20642,downup,neuron_cluster_11
Atp13a4,downup,neuron_cluster_11
Lyz2,downup,neuron_cluster_11
Tenm2,downup,neuron_cluster_11
Ubash3b,downup,neuron_cluster_11
Tcerg1l,downup,neuron_cluster_11
Rundc3b,downup,neuron_cluster_11
Kctd16,downup,neuron_cluster_11
Magi2,downup,neuron_cluster_11
Dach1,downup,neuron_cluster_11
