p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity,n_cells,prop
1.3551251898393524e-8,0.5294023574845328,1,0.995,2.9498365132423e-4,13,mt-Co3,0.0021756805186617313,40,0.004089143324473523
1.3937871487944724e-8,0.5632360121001939,0.925,0.555,3.0339958654958076e-4,13,Tmem178b,0.0038385879649709934,40,0.004089143324473523
2.0113099786480863e-8,0.4083150800535267,0.525,0.18,4.378219561521155e-4,13,Tcf12,0.00486983841132469,40,0.004089143324473523
2.0128728990855344e-8,0.4858846332442708,0.7,0.304,4.381621726729391e-4,13,Unc79,0.004574987937982082,40,0.004089143324473523
2.0505509733376277e-8,0.21211218269794144,0.2,0.035,4.463639358761348e-4,13,Osbpl3,0.004956326376678832,40,0.004089143324473523
2.6933536979815036e-8,0.6626353157199314,0.9,0.739,5.862892329766137e-4,13,Gria2,0.0032999319351189526,40,0.004089143324473523
3.3049198380665623e-8,0.5744710150011308,0.7,0.32,7.194149503503293e-4,13,Enox1,0.005138643816458695,40,0.004089143324473523
3.550728430315061e-8,0.24592228499681645,0.25,0.053,7.729225647109825e-4,13,Dennd2a,0.00474345033034909,40,0.004089143324473523
3.652363699320785e-8,0.4325087682620752,0.55,0.2,7.950465300681483e-4,13,Tcf4,0.004863623441916609,40,0.004089143324473523
3.6800706308913874e-8,0.5135234604375802,0.8,0.38,8.010777749324371e-4,13,Trpm3,0.004420781116229208,40,0.004089143324473523
3.7197930689093534e-8,0.4937587021281268,0.7,0.302,8.097245552401879e-4,13,Tnr,0.004679917451972046,40,0.004089143324473523
3.866616735858384e-8,0.6355390658295809,0.775,0.416,8.416851310616531e-4,13,Syn2,0.004841533664834991,40,0.004089143324473523
3.9980700207413755e-8,0.2748156820461433,0.3,0.072,8.702998821149826e-4,13,Sec14l1,0.004682336298748438,40,0.004089143324473523
4.9421161783821424e-8,0.7419712946015169,0.725,0.36,0.00107579984971022,13,Kctd16,0.006110193195961968,40,0.004089143324473523
5.58319260195699e-8,0.3689401690907611,0.425,0.134,0.00121534936559399,13,Rb1,0.004784894944524164,40,0.004089143324473523
6.051162830801647e-8,0.19106061764790191,0.175,0.029,0.0013172171250089,13,Ccsap,0.004714585986700814,40,0.004089143324473523
6.486306532019845e-8,0.14671445942842637,0.125,0.016,0.00141193920589008,13,Gm28578,0.004687003534183525,40,0.004089143324473523
7.285216013552839e-8,0.1695612604260121,0.15,0.022,0.00158584582183018,13,Myocd,0.004727456564729617,40,0.004089143324473523
9.049303596039213e-8,0.4615478113314984,0.525,0.199,0.00196985240678581,13,Qk,0.004979150525661154,40,0.004089143324473523
