p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity
5.690685732396038e-11,0.20482426735658477,0.745,0.582,1.2387484702279696e-6,6,Dscam,0.26218913948566264
6.150341308342025e-11,0.23940387219112202,0.755,0.629,1.3388062959998922e-6,6,Il1rapl1,0.28736076868727684
6.301610431781828e-11,0.18873737184562145,0.398,0.265,1.3717345587902683e-6,6,Slc4a10,0.28346216601719754
7.511690984199856e-11,0.21870150852774473,0.4,0.267,1.6351448934406246e-6,6,Rmst,0.327642709404861
1.2054047388062538e-10,0.4221300664812839,0.445,0.32,2.6239250354334533e-6,6,Zfp804b,0.5870246237005354
1.2564017735267506e-10,-0.2834461074242163,0.943,0.958,2.7349353806130306e-6,6,mt-Co2,-0.2790080159718538
1.4541248659651765e-10,-0.2912030689293672,0.07,0.183,3.165339008232996e-6,6,Rorb,-0.11138915204948473
1.5821631358526333e-10,0.2086296968704473,0.879,0.781,3.444052714124012e-6,6,Ank3,0.2348085832895303
1.628619257730078e-10,0.38765128087029077,0.77,0.645,3.5451784002268337e-6,6,Galntl6,0.4627774980932153
1.750715957161225e-10,0.2220618798434124,0.889,0.764,3.810958495548555e-6,6,Magi2,0.2583939936921383
1.96864091493849e-10,-0.28381349270000444,0.802,0.831,4.285337543638105e-6,6,Cst3,-0.27390905071649047
2.0538285859780984e-10,0.23072098494901816,0.4,0.268,4.470774065957124e-6,6,Cntnap5b,0.3443596790283853
2.521108441171141e-10,0.18518553649670055,0.813,0.665,5.48794885474134e-6,6,Ctnnd2,0.22639976116062788
2.875477164948061e-10,0.22865646932163494,0.187,0.101,6.25933869265894e-6,6,Gm12296,0.42335405706084883
2.919519842011748e-10,0.23350698617296706,0.402,0.274,6.355210792091173e-6,6,Luzp2,0.34259054175741877
2.9577883940613187e-10,0.18166472207525586,0.396,0.264,6.438513776192678e-6,6,P2ry14,0.2724970831128838
4.5470879824654016e-10,0.13976540038834398,0.251,0.146,9.898101120230686e-6,6,Sycp2,0.2402816129963996
4.5767011690340057e-10,0.13280006075828357,0.181,0.094,9.962563104753224e-6,6,Frmd4b,0.25571075528988646
5.314866433099023e-10,0.17765470469869032,0.389,0.262,1.1569401251569953e-5,6,Pdcd7,0.26376977148011654
6.306951691414478e-10,0.10107286739704459,0.145,0.069,1.3728972441871036e-5,6,Lgr4,0.21239950395031104
6.52588185918882e-10,0.21164014178815527,0.483,0.349,1.4205539631082222e-5,6,Tmeff2,0.29290025353489685
