p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity
3.6362872578510293e-9,0.636701314590588,0.278,0.176,7.915470102890121e-5,5,Trhde,1.0056986673646788
3.8288940708806146e-9,1.158044659769287,0.106,0.047,8.334736613492922e-5,5,Gm48006,2.611760296500945
3.847948695702388e-9,1.0769254944267814,0.113,0.052,8.376214720804959e-5,5,Lhx8,2.3402419398120444
4.466722888175184e-9,0.548535307956534,0.372,0.258,9.723162382979741e-5,5,Grin2a,0.7909113742629095
4.4923370724984885e-9,0.6176383152507925,0.374,0.265,9.77891933941471e-5,5,Prickle1,0.8716857732218731
4.652968860541004e-9,0.384793596326366,0.706,0.61,1.0128582615625657e-4,5,Dab1,0.44535127705969574
5.216606356909211e-9,0.3375182452821262,0.628,0.497,1.1355508717719971e-4,5,Gm20642,0.4264818069158456
5.285844565778907e-9,0.7606037697268522,0.217,0.128,1.1506226450787526e-4,5,Sdk2,1.289461078365054
5.8742852386312405e-9,-0.9799887502693593,0.438,0.539,1.2787144107452485e-4,5,Nrg1,-0.7963544946530229
6.168357331216715e-9,0.41921671151933065,0.455,0.328,1.3427280238592545e-4,5,Rbms3,0.5815353772600471
6.238715144324682e-9,0.605997943153632,0.311,0.204,1.3580435126165968e-4,5,Rfx3,0.9238498054940175
7.159123885317104e-9,0.20869372798966254,0.583,0.433,1.5583980873558272e-4,5,Dgkb,0.2809894767158736
7.666219339676586e-9,-0.5443523569829936,0.432,0.542,1.668782625860799e-4,5,Tpt1,-0.4338749413591388
7.672550268148159e-9,0.5119976815049117,0.38,0.264,1.6701607423704913e-4,5,Rtl4,0.7369663597419183
8.396404747692999e-9,-0.4955476653623213,0.608,0.677,1.827729385477812e-4,5,mt-Nd1,-0.44504133019245395
8.56056260941486e-9,0.7078940867918,0.234,0.142,1.8634632688174267e-4,5,Gm28750,1.166529692318882
9.450669052336665e-9,0.46602802969811796,0.426,0.305,2.0572216393126454e-4,5,Hecw1,0.6509112808242565
9.847848385874023e-9,1.0121249350459616,0.136,0.069,2.1436796366370572e-4,5,Tmtc4,1.9949129154529097
9.944627443667421e-9,0.5194200612994059,0.426,0.31,2.1647465019375244e-4,5,Fstl5,0.713783697140474
1.0459428958472404e-8,0.568323094735492,0.384,0.271,2.276808495680273e-4,5,A330076H08Rik,0.8052991453078558
1.0825640228159665e-8,0.9219137496627559,0.161,0.087,2.356525364865796e-4,5,Gm14330,1.7060702723644103
1.2666926736354413e-8,-1.7341609220227259,0.038,0.12,2.7573366119696286e-4,5,Tmem163,-0.5491509586405299
1.5844074437740612e-8,0.9288212832425562,0.142,0.074,3.4489381236073763e-4,5,4930473D10Rik,1.7823327327086889
1.6424783670551793e-8,0.8912851558345536,0.171,0.095,3.575346909405714e-4,5,2700054A10Rik,1.6043132805021965
