neuron.np,EffectType,term,Estimate,Std.error,lwr,upr,t.val
Sst,HypotheticalInt,Sex:Status,0.030615157768691212,0.008105589024122277,0.022509568744568935,0.03872074679281349,-4.012516769298132
Npff,AIE,Sex:Status,-0.0011085238261508402,0.00083954001396839735,-0.002754022253528899,-0.002754022253528899,NA
Npff,HypotheticalInt,Sex:Status,2.40340051801796e-8,8.395400152653558e-4,-8.395159812601756e-4,8.395640492705359e-4,-1.3203942706655452
Npy,AIE,Sex:Status,-0.004966849608278833,0.002278443252468475,-0.009432598383117045,-0.009432598383117045,NA
Npy,HypotheticalInt,Sex:Status,0.0022600909657692573,0.002278443252468475,-1.8352286699217877e-5,0.004538534218237732,-2.179931232826504
Calca,AIE,Sex:Status,-7.674597079264941e-4,7.671651141974668e-4,-0.002271103331753529,-0.002271103331753529,NA
Calca,HypotheticalInt,Sex:Status,8.508118094285018e-11,7.671651152992052e-4,-7.671650302180243e-4,7.671652003803861e-4,-1.0003840015941992
Iapp,AIE,Sex:Status,3.260515153299443e-4,3.259983460898091e-4,-3.129052430060815e-4,-3.129052430060815e-4,NA
Iapp,HypotheticalInt,Sex:Status,8.492050856580415e-11,3.2599835009254055e-4,-3.25998265172032e-4,3.259984350130491e-4,1.000163084375699
Nppc,AIE,Sex:Status,-7.674597079264968e-4,7.671651578364596e-4,-0.0022711034172859575,-0.0022711034172859575,NA
Nppc,HypotheticalInt,Sex:Status,8.50811814389774e-11,7.67165160990722e-4,-7.671650759095406e-4,7.671652460719035e-4,-1.0003839420124272
