term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.genes,EffectType
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,117,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,116,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,91,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,184,904,Male,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1201114142811445,34,904,Male,Dom,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,487,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,2,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,1,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,787,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,84,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,14,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,161,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,114,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,117,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,188,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,23,864,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,555,911,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,2,911,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,0,911,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,818,911,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,101,911,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,14,911,Male,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.18985215053763566,158,911,Male,Sub,Ar,MER
